timestamp,alarm_id,cell_id,alarm_type,severity,description,status,source_system,affected_services
2025-08-11 07:12:37.745734,2a288ec7-6da4-4fa8-8808-198f74c9c3f5,CELL_0049,PACKET_LOSS_THRESHOLD,WARNING,Packet loss rate exceeds configured threshold,CLEARED,NMS_2,0
2025-08-11 07:12:37.745734,a07e1ae9-dcd0-4e21-b209-31079e13357f,CELL_0056,POWER_OUTAGE,WARNING,Power supply interruption detected,ACTIVE,NMS_3,0
2025-08-11 07:12:37.745734,2c338db7-47ad-4d51-85d0-08df060359a5,CELL_0037,HIGH_CPU_UTILIZATION,MINOR,CPU utilization exceeded threshold,ACTIVE,NMS_5,0
2025-08-11 07:12:37.745734,8413fb8e-83e0-42e2-9b89-18bd03a47490,CELL_0077,BANDWIDTH_CONGESTION,MINOR,Bandwidth utilization at capacity,ACKNOWLEDGED,NMS_2,0
2025-08-11 07:12:46.209145,0ce58cdd-998b-47c3-91bd-5ff91c2b80b6,CELL_0073,AUTHENTICATION_FAILURE,INFO,Authentication attempt failed,CLEARED,NMS_2,0
2025-08-11 07:12:46.209145,a1b74580-9c5f-4603-af97-14b5b16322e0,CELL_0045,AUTHENTICATION_FAILURE,INFO,Authentication attempt failed,CLEARED,NMS_3,0
2025-08-11 07:12:56.214253,c3a0499f-30a4-40ec-83d5-30e4ba02219b,CELL_0032,BANDWIDTH_CONGESTION,MAJOR,Bandwidth utilization at capacity,ACKNOWLEDGED,NMS_2,6
2025-08-11 07:12:56.214253,6d2567c7-cd95-49cc-9874-d2420e6f873a,CELL_0015,HIGH_LATENCY,WARNING,Network latency above SLA requirements,ACTIVE,NMS_5,0
2025-08-11 07:12:56.214253,b19a3132-b9bc-46ef-afed-1cf0794eee82,CELL_0046,AUTHENTICATION_FAILURE,WARNING,Authentication attempt failed,ACKNOWLEDGED,NMS_1,0
2025-08-11 07:12:56.214253,13950ba9-f3a9-48d7-9391-4100cb26bbad,CELL_0018,TEMPERATURE_ALERT,INFO,Equipment temperature outside normal range,CLEARED,NMS_4,0
